ID,latitude,longitude
1190,-26.225,32.675
1191,-26.325,-70.575
1192,-26.925,-48.625
1193,-27.325,-70.925
1194,-27.375,153.175
1195,-27.725,114.175
1196,-27.825,-71.075
1197,-27.925,15.675
1198,-28.325,32.425
1199,-28.425,-71.225
1200,-28.425,32.425
1201,-28.475,-48.775
1202,-28.625,16.475
1203,-28.875,114.625
1204,-28.875,153.575
1205,-29.225,31.475
1206,-29.275,114.925
1207,-29.425,153.375
1208,-29.675,17.075
1209,-29.875,-71.275
1210,-30.725,-71.675
1211,-30.725,30.425
1212,-30.875,153.025
1213,-31.375,115.475
1214,-31.575,130.125
1215,-31.575,130.875
1216,-31.625,-71.575
1217,-31.625,29.525
1218,-31.675,18.175
1219,-31.675,129.025
1220,-31.725,128.875
1221,-31.925,152.625
1222,-32.025,115.725
1223,-32.125,-52.075
1224,-32.125,127.725
1225,-32.225,28.875
1226,-32.275,126.375
1227,-32.325,125.925
1228,-32.375,125.775
1229,-32.525,115.725
1230,-32.525,137.775
1231,-32.575,125.425
1232,-32.675,28.375
1233,-32.725,125.075
1234,-32.775,18.125
1235,-32.925,-71.525
1236,-32.925,151.775
1237,-33.225,137.825
1238,-33.475,27.125
1239,-33.525,134.875
1240,-33.575,151.325
1241,-33.625,-71.625
1242,-33.725,25.875
1243,-33.825,121.925
1244,-33.875,121.125
1245,-33.925,-71.825
1246,-33.975,25.025
1247,-34.075,-58.325
1248,-34.125,119.625
1249,-34.325,-58.475
1250,-34.325,21.875
1251,-34.325,115.175
1252,-34.425,-58.525
1253,-34.425,20.825
1254,-34.475,118.925
1255,-34.775,-56.375
1256,-34.925,150.775
1257,-34.975,-72.175
1258,-35.025,116.975
1259,-35.325,-72.425
1260,-35.575,138.875
1261,-35.725,-57.325
1262,-35.975,-57.375
1263,-36.125,-57.275
1264,-36.275,-57.125
1265,-36.325,-56.925
1266,-36.375,-72.875
1267,-36.825,-73.175
1268,-37.325,174.775
1269,-37.725,-57.425
1270,-37.825,144.875
1271,-37.825,148.525
1272,-37.875,147.975
1273,-38.075,141.025
1274,-38.275,144.525
1275,-38.425,142.525
1276,-38.575,-58.675
